Blog	four	second	here	until	example	want	how	wrong	series	re	service	saying	best	much	life	things	had	has	right	old	people	support	happy	later	time	leave	team	love	working	such	data	so	years	didn	internet	million	one	vote	open	city	future	say	take	going	where	former	being	around	world	power	her	october	am	an	as	at	tv	th	case	small	past	hours	more	company	its	always	found	really	try	also	microsoft	set	see	whole	using	couple	d	be	by	anything	clinton	into	link	line	up	us	ago	having	video	let	great	makes	next	process	doing	could	system	should	email	ve	off	less	have	become	does	problem	worth	told	work	after	then	them	they	network	created	another	what	do	away	we	com	easy	night	post	months	way	was	together	change	live	can	use	still	half	not	now	year	care	than	online	only	between	these	media	real	read	early	t	business	your	start	lot	trying	since	month	very	family	site	help	actually	event	put	american	pretty	during	x	won	probably	both	else	look	while	used	game	some	step	doesn	e	go	started	special	times	need	based	course	she	i	well	page	twitter	home	he	star	friends	even	new	ever	never	call	tell	give	before	better	went	isn	don	m	stop	bad	said	against	three	if	make	left	just	deal	down	me	did	run	making	may	man	maybe	talk	nbsp	morning	earlier	thing	think	first	little	hillary	were	especially	show	enough	black	get	those	different	same	running	money	again	u	public	free	two	needs	through	good	everyone	house	hard	done	least	part	most	find	point	spent	big	bit	google	often	back	links	ll	instead	day	announced	thought	like	about	buy	but	under	every	would	my	keep	end	over	each	got	days	already	top	too	took	though	watch	full	news	been	social	election	everything	why	donald	no	when	cool	level	says	today	trump	name	place	any	sure	state	come	someone	week	without	blog	or	there	all	thursday	woman	version	short	might	number	feel	story	nothing	his	him	art	are	recently	long	called	once	car	apple	app	few	something	many	our	out	their	which	who	words	available	last	will	other	know	because	getting	own	made	whether	book
	0	0	0	0	0	1	0	0	2	1	0	0	0	0	5	1	0	1	1	2	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	3	5	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	4	4	0	5	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	6	2	0	1	4	0	2	0	0	0	3	0	0	0	6	0	0	0	2	0	0	0	2	2	1	0	0	1	2	2	1	6	0	1	0	7	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	0	0	1	0	1	1	1	0	0	0	4	0	0	2	5	0	1	0	0	0	0	0	0	0	2	1	0	0	0	2	1	4	2	0	3	0	0	0	0	1	0	0	1	0	0	20	0	0	0	0	1	0	3	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	1	1	2	1	1	0	3	0	1	1	0	0	0	3	0	1	3	1	1	1	1	1	0	0	5	0	1	2	0	1	3	1	1	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	2	3	1	3	0	0	1	0	0	0	1	0	2	2	0	4	0	0	0	0	0	0	0	1	0	1	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Schneier on Security	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	2	2	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	1	0	0	3	2	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	1	1	2	0	0	0	3	0	0	1	0	0	0	1	0	0	2	0	0	0	4	2	1	1	2	1	1	0	0	1	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	1	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	1	1	0	0	1	0	0
Search Engine Roundtable	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	2	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	4	0	0	6	1	0	0	0	0	0	0	0	3	4	0	0	2	2	0	0	6	1	0	1	0	0	0	0	0	0	0	1	0	0	0	4	6	1	0	0	0	1	0	1	0	0	1	0	5	7	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	4	2	0	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	0	0	3	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	2	0	0	0	1	0	0	2	0	2	1	0	1	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	2	0	0	0	0	1	0	4	0	0	1	1	3	0	0	2	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0
Copyblogger	0	0	3	0	0	0	7	0	0	6	0	0	0	2	0	0	0	2	1	0	3	0	0	1	5	0	0	0	0	0	0	4	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	1	5	1	1	0	0	0	0	13	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	10	0	0	0	10	0	0	4	3	0	1	1	0	0	0	0	1	0	0	3	0	0	0	5	0	0	10	0	5	3	6	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	2	7	1	1	0	0	0	0	0	2	5	0	0	0	0	1	4	2	0	2	0	1	0	0	0	0	0	4	2	0	4	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	11	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	1	0	1	0	0	1	0	1	2	2	0	0	2	7	4	5	0	0	1	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	2	1	0	1	0	0	1	2	2	0	1	3	0	0	0	0	0	0	0	1	1	0	0	2	2	2	0	0	0	0	0	0	1	0	0	3	0	1	0	0	1	1	0	0	0	0	0	1	0	2	2	2	2	0	2	0	3	1	0	5	4	0	2	0	0	5
PerezHilton	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	1	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0	1	1	0	2	0	14	0	0	1	9	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	5	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	2	0	0	2	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	1	0	2	1	0	1	1	0	0	4	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	6	0	1	0	0	0	4	2	0	2	3	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	1	1	0	2	0	0	0	0	4	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	7	0	3	0	0	2	0	0	0	0	0	1	0	3	0	1	0	2	2	0	0	2	1	1	0	0	3	0	1	0	0	1	0	2	0	0	1	3	0	0	1	2	0	0	2	3	2	4	2	0	1	1	0	0	0	0	4	0	0	3	0	1	0	0	0	0	0	0	1	1	1	6	0	1	2	0	0	1	0	0	1	0	0	0	0	2	0
Engadget RSS Feed	1	1	0	2	0	0	1	0	1	3	3	0	2	0	0	2	1	15	0	0	1	2	0	1	0	0	0	0	1	0	3	1	1	0	2	2	5	0	0	0	2	0	1	0	1	0	0	0	0	0	1	2	0	4	4	6	3	2	1	0	0	0	4	8	20	0	0	0	0	1	4	1	0	0	1	0	0	5	4	0	0	2	0	2	1	0	1	0	3	0	1	0	1	1	0	0	0	0	0	0	4	0	6	0	2	0	1	1	1	4	1	1	2	1	2	1	0	0	0	2	1	0	0	1	0	1	5	1	0	0	6	0	3	1	0	4	2	0	2	0	1	0	0	0	3	1	0	6	0	1	0	1	1	0	1	0	1	0	0	0	7	0	0	1	2	1	1	0	2	0	0	3	0	2	2	0	1	0	0	0	1	0	1	1	1	0	0	2	0	3	0	0	0	1	1	17	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	3	1	0	2	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	2	0	5	0	0	0	2	0	1	4	0	1	4	0	7	0	0	1	0	0	0	1	1	1	0	5	1	1	0	1	2	1	0	2	1	0	2	0	0	2	1	0	0	2	5	0	0	1	0	0	0	0	0	2	0	0	2	1	5	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	8	4	0	1	0	1	1	3	2	0	0	2	1	2	0	0	0	3	3	1	0	1
ThinkProgress - Medium	4	1	4	1	2	5	4	0	8	5	2	4	1	2	2	0	10	25	4	4	27	2	1	2	12	2	8	0	3	4	0	8	15	3	0	1	16	10	0	2	0	5	5	7	14	1	4	4	7	2	37	1	0	25	51	48	1	0	12	1	1	3	23	1	4	3	4	2	1	14	0	3	5	0	5	0	11	16	39	1	2	6	0	4	11	5	3	1	1	1	0	1	3	3	4	3	0	1	0	8	2	4	30	1	2	2	0	5	4	16	6	10	25	0	1	2	12	6	4	23	8	1	2	1	2	6	56	1	13	3	9	6	8	3	22	8	19	1	20	0	10	3	6	9	5	0	10	36	1	1	2	1	2	6	4	3	10	3	2	1	0	2	17	0	9	16	2	4	2	1	7	9	6	2	7	2	5	8	3	4	0	4	4	2	0	35	30	1	0	0	2	26	0	0	11	8	1	3	2	2	1	8	1	1	1	5	9	1	0	28	7	7	14	8	1	21	0	12	2	2	2	2	4	2	4	4	0	0	4	5	2	17	2	2	15	2	3	0	4	4	4	2	6	0	0	0	8	1	2	11	1	4	2	2	3	2	0	3	3	4	1	1	2	0	0	0	5	9	0	0	3	16	2	1	10	23	1	30	6	0	15	7	2	3	16	0	2	7	3	2	4	0	7	1	4	3	18	1	7	1	1	1	7	10	0	2	3	2	8	4	4	10	2	15	5	2	5	3	1	10	6	13	13	4	0	3	1	2	3	14	1	26	4	0	37	1	6	3	1	0	0	0	1	0	6	13	8	33	12	24	3	1	10	12	9	6	9	1	3	3	2	0
A Consuming Experience (full feed)	0	0	14	1	4	12	12	2	0	10	1	3	4	1	0	3	14	8	12	5	8	1	0	3	13	1	0	1	6	0	3	26	1	4	3	0	14	0	45	0	1	2	3	2	13	0	0	0	0	0	0	0	0	15	31	17	2	0	6	0	1	2	9	0	8	5	10	3	13	10	4	5	21	0	18	1	7	28	11	4	0	1	0	3	20	0	0	4	1	1	0	0	7	2	1	7	5	11	0	19	1	0	30	0	1	10	3	0	12	12	38	7	6	2	4	2	10	16	0	0	2	2	0	11	0	14	7	0	6	28	31	22	3	0	30	12	0	1	6	2	17	1	0	0	1	2	0	44	0	63	10	3	6	3	0	2	0	3	1	0	0	0	0	1	0	3	2	2	10	3	4	2	5	0	14	5	7	4	15	2	0	1	7	2	0	0	69	5	2	0	0	0	0	0	11	22	0	0	0	0	0	13	2	0	3	17	1	4	0	0	2	0	56	19	10	34	0	9	10	3	4	0	13	0	0	0	29	0	3	2	1	9	0	0	7	1	3	1	0	17	5	3	15	5	0	13	0	0	5	4	0	1	2	0	0	4	1	4	0	7	9	3	0	1	13	4	0	8	0	11	2	1	0	0	18	3	0	23	1	5	5	22	9	1	9	2	4	1	7	9	3	1	4	0	4	1	5	0	0	3	2	0	11	17	0	2	1	0	0	13	1	2	13	0	0	0	0	5	15	41	23	14	0	0	13	0	1	4	1	0	2	0	0	0	9	2	3	4	4	0	0	0	1	6	4	0	5	3	14	2	0	2	0	15	15	3	13	1	3	4	0	0
ProBlogger	22	12	60	4	15	168	163	2	8	158	1	15	29	42	30	156	57	47	31	5	181	1	4	8	187	3	4	43	11	7	0	116	40	28	6	0	180	0	10	1	3	65	66	165	54	0	26	40	10	12	29	3	19	124	229	157	0	0	5	18	3	9	137	0	4	12	18	191	25	87	0	28	59	15	31	45	18	263	66	11	0	100	45	7	96	53	18	20	30	19	46	20	37	4	53	51	14	37	62	173	22	3	172	6	15	6	7	9	48	15	67	141	211	4	7	36	292	261	15	230	29	14	3	165	10	78	233	20	17	16	215	60	19	14	131	43	30	4	29	25	28	4	48	27	11	25	11	227	40	432	47	110	46	5	11	43	5	29	41	92	44	44	0	10	6	0	7	42	6	24	36	16	17	0	170	26	22	1	73	42	1	30	59	8	21	45	1350	117	6	11	3	51	0	6	53	64	25	35	4	22	37	46	17	8	5	119	152	8	4	62	3	62	155	63	1	173	2	22	206	52	4	17	16	0	43	48	5	3	0	78	162	81	97	0	31	3	28	19	1	175	134	36	19	2	13	48	0	0	21	49	9	53	75	25	2	7	41	8	20	65	41	15	3	28	109	22	15	41	29	61	2	75	1	18	106	276	5	219	3	74	74	259	33	19	63	13	61	25	8	7	28	15	5	4	45	9	59	41	4	9	48	4	31	96	9	8	13	111	5	12	8	17	12	4	34	37	65	15	166	211	169	118	1	0	2	9	52	56	25	19	3	8	14	0	173	6	16	9	19	1	0	2	67	133	66	80	124	70	36	85	38	3	47	96	94	74	102	24	23	10	21	10
TMZ.com	0	0	1	0	0	1	2	0	0	0	0	0	2	1	2	0	5	8	0	2	1	1	0	0	0	0	0	1	0	0	0	4	1	1	0	0	2	1	0	0	0	1	1	3	1	0	0	0	0	0	15	0	0	0	3	8	1	1	2	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	4	0	0	3	2	0	0	8	1	2	0	1	0	0	0	0	0	0	1	5	0	2	0	1	0	0	1	0	2	0	0	1	0	1	0	3	1	0	4	0	0	3	0	0	1	3	0	0	0	0	0	0	0	1	2	1	0	1	0	1	0	0	0	1	0	0	3	0	3	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	2	7	5	0	0	1	1	0	0	2	0	1	0	7	1	1	1	1	0	0	1	0	0	0	0	3	0	2	2	0	0	2	0	1	0	0	0	1	0	0	0	1	1	2	2	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	2	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	4	2	0	3	2	2	1	2	0	6	0	1	0	0	0	0	0	3	2	2	0	0	0	1	3	2	6	0	0	4	0	5	0	1	0	0	1	0	1	1	0	0	2	1	3	6	3	0	1	0	0	1	0	1	10	4	1	6	0	0	0	0	4	0	0	0	1	0	1	4	1	1	10	0	0	0	2	1	1	0	1	0	3	0	1
